Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 7.478 7.456 7.292 7.157 7.011 6.850 6.673 6.478 6.262 6.029 5.771 5.487 5.174 4.826 4.441 3.999 3.493 2.887 2.096 0.659 0.000 0.000 0.000 0.000 0.000
    1 7.485 7.454 7.300 7.166 7.022 6.863 6.686 6.493 6.279 6.044 5.787 5.504 5.193 4.848 4.460 4.024 3.522 2.919 2.140 0.771 0.000 0.000 0.000 0.000 0.000
    2 7.493 7.454 7.307 7.176 7.032 6.873 6.699 6.505 6.293 6.060 5.805 5.524 5.214 4.873 4.494 4.062 3.563 2.978 2.225 1.002 0.000 0.000 0.000 0.000 0.000
    3 7.500 7.456 7.314 7.183 7.041 6.882 6.708 6.516 6.306 6.075 5.822 5.546 5.240 4.902 4.529 4.109 3.630 3.060 2.352 1.279 0.000 0.000 0.000 0.000 0.000
    4 7.506 7.458 7.320 7.189 7.046 6.889 6.716 6.525 6.318 6.088 5.838 5.568 5.265 4.936 4.574 4.163 3.701 3.159 2.493 1.556 0.000 0.000 0.000 0.000 0.000
    5 7.512 7.459 7.324 7.194 7.051 6.894 6.722 6.534 6.327 6.099 5.855 5.588 5.292 4.973 4.618 4.226 3.777 3.264 2.643 1.811 0.000 0.000 0.000 0.000 0.000
    6 7.517 7.461 7.327 7.197 7.056 6.899 6.727 6.539 6.333 6.113 5.869 5.606 5.320 5.004 4.663 4.281 3.855 3.367 2.784 2.036 0.742 0.000 0.000 0.000 0.000
    7 7.521 7.462 7.330 7.199 7.058 6.901 6.730 6.543 6.341 6.121 5.883 5.624 5.344 5.036 4.703 4.334 3.922 3.454 2.910 2.226 1.200 0.000 0.000 0.000 0.000
    8 7.524 7.462 7.330 7.201 7.058 6.902 6.732 6.547 6.346 6.128 5.894 5.635 5.362 5.062 4.739 4.379 3.980 3.535 3.013 2.377 1.487 0.000 0.000 0.000 0.000
    9 7.525 7.461 7.331 7.200 7.058 6.901 6.733 6.548 6.347 6.132 5.898 5.649 5.376 5.084 4.764 4.410 4.021 3.590 3.087 2.479 1.669 0.000 0.000 0.000 0.000
   10 7.525 7.460 7.329 7.198 7.056 6.900 6.732 6.547 6.347 6.133 5.901 5.653 5.385 5.091 4.776 4.431 4.049 3.622 3.138 2.550 1.782 0.000 0.000 0.000 0.000
   11 7.524 7.459 7.327 7.196 7.053 6.897 6.727 6.543 6.346 6.131 5.901 5.652 5.384 5.095 4.780 4.438 4.060 3.636 3.152 2.572 1.821 0.113 0.000 0.000 0.000
   12 7.521 7.457 7.324 7.192 7.050 6.893 6.723 6.539 6.340 6.125 5.896 5.644 5.378 5.089 4.772 4.427 4.048 3.624 3.136 2.556 1.797 0.000 0.000 0.000 0.000
   13 7.517 7.454 7.320 7.188 7.044 6.887 6.716 6.531 6.332 6.115 5.884 5.632 5.361 5.069 4.751 4.404 4.019 3.591 3.092 2.500 1.703 0.000 0.000 0.000 0.000
   14 7.512 7.452 7.315 7.182 7.037 6.881 6.708 6.523 6.321 6.104 5.868 5.614 5.338 5.044 4.720 4.363 3.971 3.529 3.019 2.395 1.538 0.000 0.000 0.000 0.000
   15 7.505 7.450 7.310 7.176 7.031 6.872 6.699 6.511 6.309 6.087 5.851 5.592 5.314 5.009 4.677 4.313 3.908 3.448 2.911 2.243 1.268 0.000 0.000 0.000 0.000
   16 7.497 7.448 7.303 7.169 7.023 6.864 6.690 6.500 6.293 6.071 5.827 5.566 5.281 4.970 4.626 4.250 3.828 3.347 2.775 2.047 0.817 0.000 0.000 0.000 0.000
   17 7.489 7.447 7.296 7.161 7.014 6.854 6.680 6.488 6.279 6.051 5.803 5.535 5.245 4.923 4.571 4.179 3.737 3.227 2.610 1.794 0.000 0.000 0.000 0.000 0.000
   18 7.480 7.447 7.289 7.152 7.006 6.844 6.666 6.474 6.262 6.030 5.780 5.503 5.205 4.873 4.508 4.101 3.639 3.097 2.427 1.474 0.000 0.000 0.000 0.000 0.000
   19 7.470 7.460 7.282 7.144 6.995 6.833 6.655 6.459 6.245 6.011 5.754 5.475 5.167 4.824 4.448 4.025 3.536 2.962 2.228 1.061 0.000 0.000 0.000 0.000 0.000
   20 7.461 7.461 7.274 7.135 6.985 6.821 6.641 6.444 6.227 5.991 5.730 5.444 5.129 4.781 4.390 3.951 3.439 2.825 2.023 0.411 0.000 0.000 0.000 0.000 0.000
   21 7.452 7.452 7.266 7.125 6.974 6.809 6.628 6.428 6.211 5.969 5.706 5.416 5.096 4.739 4.337 3.882 3.356 2.711 1.840 0.000 0.000 0.000 0.000 0.000 0.000
   22 7.443 7.443 7.258 7.115 6.962 6.797 6.613 6.412 6.194 5.951 5.683 5.390 5.064 4.705 4.297 3.833 3.290 2.620 1.692 0.000 0.000 0.000 0.000 0.000 0.000
   23 7.434 7.434 7.250 7.104 6.951 6.783 6.599 6.397 6.175 5.933 5.664 5.369 5.044 4.679 4.268 3.801 3.252 2.570 1.612 0.000 0.000 0.000 0.000 0.000 0.000
   24 7.427 7.427 7.243 7.094 6.938 6.770 6.584 6.382 6.159 5.913 5.646 5.351 5.026 4.661 4.253 3.786 3.240 2.563 1.612 0.000 0.000 0.000 0.000 0.000 0.000
   25 7.420 7.420 7.235 7.084 6.928 6.757 6.571 6.367 6.144 5.900 5.633 5.338 5.013 4.654 4.248 3.788 3.252 2.588 1.672 0.000 0.000 0.000 0.000 0.000 0.000
   26 7.415 7.415 7.229 7.075 6.917 6.745 6.559 6.354 6.132 5.888 5.624 5.331 5.008 4.654 4.258 3.807 3.281 2.646 1.779 0.000 0.000 0.000 0.000 0.000 0.000
   27 7.412 7.412 7.222 7.067 6.908 6.735 6.548 6.343 6.123 5.880 5.616 5.328 5.010 4.661 4.273 3.835 3.329 2.715 1.913 0.000 0.000 0.000 0.000 0.000 0.000
   28 7.410 7.410 7.218 7.062 6.901 6.728 6.541 6.337 6.115 5.877 5.614 5.331 5.020 4.677 4.298 3.872 3.380 2.795 2.046 0.722 0.000 0.000 0.000 0.000 0.000
   29 7.409 7.409 7.215 7.058 6.897 6.724 6.536 6.334 6.114 5.875 5.617 5.338 5.030 4.695 4.322 3.908 3.436 2.876 2.172 1.066 0.000 0.000 0.000 0.000 0.000
   30 7.410 7.410 7.214 7.057 6.895 6.722 6.536 6.334 6.116 5.881 5.622 5.346 5.045 4.716 4.354 3.947 3.488 2.949 2.283 1.302 0.000 0.000 0.000 0.000 0.000
   31 7.413 7.413 7.214 7.058 6.897 6.725 6.539 6.336 6.121 5.888 5.634 5.359 5.061 4.737 4.381 3.986 3.538 3.017 2.378 1.485 0.000 0.000 0.000 0.000 0.000
   32 7.417 7.417 7.217 7.061 6.901 6.729 6.545 6.346 6.131 5.898 5.645 5.375 5.080 4.761 4.408 4.020 3.581 3.071 2.454 1.614 0.000 0.000 0.000 0.000 0.000
   33 7.423 7.423 7.222 7.068 6.909 6.738 6.555 6.356 6.141 5.911 5.663 5.393 5.100 4.784 4.434 4.049 3.617 3.118 2.520 1.712 0.000 0.000 0.000 0.000 0.000
   34 7.430 7.430 7.228 7.077 6.919 6.750 6.567 6.370 6.156 5.927 5.680 5.411 5.120 4.804 4.460 4.078 3.646 3.154 2.563 1.775 0.000 0.000 0.000 0.000 0.000
   35 7.438 7.438 7.237 7.087 6.932 6.763 6.582 6.385 6.175 5.944 5.697 5.430 5.141 4.826 4.481 4.102 3.670 3.178 2.592 1.820 0.000 0.000 0.000 0.000 0.000
   36 7.447 7.447 7.247 7.100 6.945 6.779 6.598 6.404 6.192 5.964 5.716 5.451 5.160 4.847 4.503 4.120 3.692 3.196 2.610 1.838 0.000 0.000 0.000 0.000 0.000
   37 7.456 7.456 7.258 7.114 6.962 6.797 6.617 6.423 6.213 5.985 5.739 5.471 5.181 4.865 4.521 4.135 3.703 3.208 2.617 1.837 0.000 0.000 0.000 0.000 0.000
   38 7.466 7.441 7.270 7.128 6.978 6.814 6.636 6.443 6.232 6.006 5.758 5.493 5.202 4.884 4.537 4.148 3.716 3.217 2.615 1.827 0.000 0.000 0.000 0.000 0.000
   39 7.477 7.441 7.282 7.143 6.995 6.833 6.657 6.463 6.254 6.027 5.780 5.513 5.219 4.904 4.551 4.162 3.723 3.221 2.612 1.804 0.000 0.000 0.000 0.000 0.000
   40 7.487 7.445 7.294 7.158 7.012 6.852 6.675 6.484 6.275 6.048 5.802 5.534 5.238 4.920 4.564 4.172 3.730 3.216 2.600 1.767 0.000 0.000 0.000 0.000 0.000
   41 7.497 7.451 7.306 7.173 7.028 6.870 6.696 6.505 6.296 6.070 5.822 5.552 5.257 4.935 4.579 4.182 3.736 3.219 2.587 1.739 0.000 0.000 0.000 0.000 0.000
   42 7.506 7.456 7.317 7.186 7.043 6.885 6.713 6.524 6.315 6.087 5.841 5.571 5.275 4.951 4.592 4.191 3.742 3.215 2.575 1.703 0.000 0.000 0.000 0.000 0.000
   43 7.514 7.462 7.328 7.198 7.057 6.900 6.728 6.539 6.333 6.105 5.857 5.589 5.291 4.964 4.606 4.205 3.746 3.211 2.564 1.675 0.000 0.000 0.000 0.000 0.000
