Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 6.230 6.195 6.130 6.042 5.936 5.813 5.671 5.512 5.335 5.138 4.923 4.689 4.428 4.142 3.827 3.476 3.085 2.643 2.139 1.415 0.000 0.000 0.000 0.000 0.000
    1 6.250 6.216 6.150 6.063 5.958 5.835 5.694 5.537 5.360 5.166 4.950 4.714 4.459 4.172 3.860 3.510 3.121 2.686 2.191 1.490 0.000 0.000 0.000 0.000 0.000
    2 6.269 6.235 6.170 6.084 5.979 5.857 5.717 5.558 5.385 5.190 4.979 4.745 4.489 4.208 3.899 3.555 3.176 2.748 2.268 1.608 0.000 0.000 0.000 0.000 0.000
    3 6.287 6.254 6.189 6.103 5.998 5.877 5.737 5.581 5.409 5.218 5.007 4.775 4.524 4.249 3.946 3.611 3.239 2.829 2.367 1.759 0.656 0.000 0.000 0.000 0.000
    4 6.304 6.271 6.206 6.120 6.015 5.895 5.756 5.602 5.432 5.243 5.036 4.809 4.560 4.293 3.995 3.673 3.314 2.915 2.476 1.920 1.042 0.000 0.000 0.000 0.000
    5 6.320 6.286 6.221 6.136 6.032 5.911 5.774 5.621 5.453 5.266 5.063 4.840 4.602 4.338 4.052 3.736 3.391 3.009 2.590 2.082 1.348 0.000 0.000 0.000 0.000
    6 6.332 6.298 6.233 6.148 6.044 5.925 5.789 5.637 5.470 5.287 5.088 4.870 4.634 4.380 4.100 3.796 3.465 3.094 2.701 2.229 1.588 0.000 0.000 0.000 0.000
    7 6.342 6.308 6.243 6.158 6.054 5.935 5.801 5.650 5.486 5.304 5.109 4.896 4.665 4.414 4.143 3.848 3.527 3.178 2.792 2.356 1.783 0.828 0.000 0.000 0.000
    8 6.349 6.315 6.250 6.164 6.060 5.943 5.808 5.660 5.497 5.319 5.126 4.915 4.691 4.446 4.180 3.895 3.581 3.238 2.868 2.456 1.929 1.143 0.000 0.000 0.000
    9 6.353 6.318 6.253 6.167 6.064 5.946 5.813 5.664 5.506 5.328 5.139 4.931 4.707 4.466 4.210 3.928 3.620 3.289 2.926 2.530 2.032 1.332 0.000 0.000 0.000
   10 6.353 6.318 6.253 6.167 6.064 5.946 5.813 5.668 5.506 5.331 5.143 4.938 4.717 4.480 4.223 3.945 3.643 3.315 2.960 2.572 2.096 1.439 0.000 0.000 0.000
   11 6.349 6.315 6.249 6.163 6.060 5.942 5.809 5.663 5.505 5.328 5.140 4.935 4.717 4.482 4.226 3.947 3.649 3.321 2.969 2.589 2.117 1.474 0.000 0.000 0.000
   12 6.342 6.307 6.242 6.155 6.052 5.934 5.802 5.655 5.494 5.320 5.129 4.928 4.707 4.469 4.212 3.934 3.635 3.308 2.952 2.568 2.092 1.440 0.000 0.000 0.000
   13 6.331 6.296 6.230 6.144 6.040 5.922 5.789 5.641 5.481 5.305 5.114 4.908 4.687 4.447 4.190 3.909 3.604 3.272 2.910 2.518 2.029 1.337 0.000 0.000 0.000
   14 6.317 6.282 6.216 6.130 6.026 5.906 5.772 5.622 5.460 5.284 5.091 4.880 4.659 4.413 4.151 3.866 3.555 3.213 2.842 2.434 1.911 1.139 0.000 0.000 0.000
   15 6.300 6.265 6.199 6.112 6.008 5.887 5.751 5.602 5.437 5.256 5.061 4.847 4.619 4.371 4.099 3.808 3.487 3.137 2.752 2.316 1.746 0.800 0.000 0.000 0.000
   16 6.280 6.245 6.179 6.092 5.986 5.866 5.728 5.577 5.410 5.226 5.028 4.808 4.574 4.317 4.043 3.740 3.405 3.038 2.637 2.165 1.524 0.000 0.000 0.000 0.000
   17 6.258 6.223 6.157 6.069 5.963 5.841 5.702 5.548 5.378 5.191 4.987 4.765 4.524 4.262 3.971 3.657 3.312 2.924 2.504 1.984 1.220 0.000 0.000 0.000 0.000
   18 6.235 6.199 6.133 6.045 5.939 5.815 5.675 5.519 5.346 5.155 4.948 4.718 4.470 4.200 3.903 3.571 3.209 2.802 2.352 1.772 0.779 0.000 0.000 0.000 0.000
   19 6.210 6.175 6.108 6.020 5.912 5.788 5.646 5.487 5.312 5.118 4.904 4.671 4.415 4.134 3.827 3.486 3.104 2.676 2.192 1.528 0.000 0.000 0.000 0.000 0.000
   20 6.184 6.149 6.082 5.993 5.886 5.760 5.617 5.455 5.279 5.081 4.863 4.627 4.364 4.075 3.757 3.400 3.005 2.552 2.030 1.257 0.000 0.000 0.000 0.000 0.000
   21 6.160 6.124 6.057 5.967 5.858 5.732 5.588 5.427 5.245 5.045 4.826 4.583 4.315 4.018 3.691 3.328 2.912 2.442 1.878 0.972 0.000 0.000 0.000 0.000 0.000
   22 6.136 6.100 6.032 5.942 5.833 5.706 5.560 5.397 5.216 5.012 4.788 4.546 4.272 3.973 3.637 3.264 2.836 2.351 1.753 0.681 0.000 0.000 0.000 0.000 0.000
   23 6.113 6.077 6.008 5.918 5.808 5.679 5.533 5.369 5.186 4.982 4.758 4.511 4.237 3.935 3.597 3.218 2.785 2.290 1.669 0.424 0.000 0.000 0.000 0.000 0.000
   24 6.093 6.056 5.987 5.896 5.785 5.657 5.510 5.344 5.161 4.957 4.733 4.484 4.211 3.908 3.573 3.194 2.758 2.256 1.635 0.300 0.000 0.000 0.000 0.000 0.000
   25 6.076 6.038 5.969 5.876 5.766 5.637 5.488 5.324 5.139 4.936 4.714 4.467 4.193 3.894 3.558 3.185 2.757 2.258 1.641 0.411 0.000 0.000 0.000 0.000 0.000
   26 6.062 6.024 5.953 5.860 5.749 5.620 5.473 5.307 5.124 4.922 4.699 4.456 4.188 3.891 3.561 3.191 2.769 2.281 1.686 0.623 0.000 0.000 0.000 0.000 0.000
   27 6.052 6.014 5.942 5.849 5.736 5.607 5.460 5.296 5.114 4.914 4.693 4.454 4.189 3.897 3.573 3.210 2.805 2.331 1.759 0.841 0.000 0.000 0.000 0.000 0.000
   28 6.047 6.007 5.936 5.842 5.730 5.600 5.454 5.291 5.110 4.912 4.694 4.456 4.198 3.909 3.594 3.243 2.844 2.388 1.843 1.038 0.000 0.000 0.000 0.000 0.000
