Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 12.942 12.942 12.942 12.942 12.942 12.942 12.942 12.942 12.942 12.942 12.942 12.942 12.942 12.942 12.942 10.943 9.324 7.309 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    1 12.936 12.936 12.936 12.936 12.936 12.936 12.936 12.936 12.936 12.936 12.936 12.936 12.936 12.936 12.936 10.938 9.332 7.335 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    2 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 12.931 10.856 9.266 7.222 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    3 12.926 12.926 12.926 12.926 12.926 12.926 12.926 12.926 12.926 12.926 12.926 12.926 12.926 12.926 12.926 10.707 9.150 7.008 0.000 0.000 0.000 0.000 0.000 0.000 0.000
    4 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 12.922 10.516 8.997 6.825 0.787 0.000 0.000 0.000 0.000 0.000 0.000
    5 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.918 12.184 10.316 8.853 6.790 1.712 0.000 0.000 0.000 0.000 0.000 0.000
    6 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 12.914 11.742 10.130 8.731 6.852 2.260 0.000 0.000 0.000 0.000 0.000 0.000
    7 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 12.912 11.434 9.975 8.639 6.939 2.701 0.000 0.000 0.000 0.000 0.000 0.000
    8 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 12.910 11.213 9.856 8.581 7.025 3.167 0.000 0.000 0.000 0.000 0.000 0.000
    9 12.909 12.909 12.909 12.909 12.909 12.909 12.909 12.909 12.909 12.909 12.909 12.909 12.909 12.909 11.058 9.769 8.544 7.092 4.012 0.000 0.000 0.000 0.000 0.000 0.000
