Table of integrated summer insolation. 
The name of the file indicates the latitude. 
Rows correspond to time and columns to diurnal average insolation thresholds. 
Time (kilayears before present) is indicated in the first column and thresholds (W/m^2) in the first row. 

Peter Huybers, Harvard University, 2006.  (phuybers@fas.harvard.edu)


  NaN     0    25    50    75   100   125   150   175   200   225   250   275   300   325   350   375   400   425   450   475   500   525   550   575   600
    0 5.832 5.804 5.747 5.672 5.581 5.474 5.355 5.223 5.077 4.919 4.749 4.565 4.372 4.164 3.951 3.728 3.484 3.199 2.870 2.474 1.977 1.271 0.000 0.000 0.000
    1 5.855 5.828 5.772 5.696 5.606 5.500 5.382 5.248 5.106 4.950 4.778 4.598 4.405 4.200 3.990 3.771 3.526 3.248 2.923 2.535 2.063 1.398 0.000 0.000 0.000
    2 5.879 5.851 5.795 5.721 5.630 5.525 5.406 5.274 5.132 4.974 4.807 4.624 4.433 4.230 4.020 3.801 3.556 3.282 2.957 2.577 2.105 1.462 0.000 0.000 0.000
    3 5.901 5.873 5.818 5.743 5.654 5.549 5.432 5.298 5.154 4.998 4.830 4.648 4.455 4.249 4.042 3.826 3.582 3.304 2.979 2.595 2.119 1.471 0.000 0.000 0.000
    4 5.921 5.894 5.839 5.765 5.676 5.571 5.452 5.319 5.177 5.019 4.849 4.665 4.473 4.268 4.058 3.836 3.591 3.303 2.977 2.585 2.101 1.431 0.000 0.000 0.000
    5 5.940 5.913 5.858 5.785 5.694 5.589 5.471 5.339 5.193 5.035 4.863 4.681 4.485 4.277 4.067 3.845 3.590 3.298 2.962 2.562 2.052 1.369 0.000 0.000 0.000
    6 5.955 5.929 5.875 5.801 5.711 5.606 5.486 5.354 5.207 5.047 4.875 4.689 4.491 4.283 4.070 3.838 3.577 3.281 2.933 2.513 1.978 1.228 0.000 0.000 0.000
    7 5.968 5.941 5.888 5.815 5.724 5.619 5.499 5.366 5.219 5.056 4.881 4.693 4.492 4.281 4.063 3.831 3.563 3.253 2.890 2.450 1.880 1.019 0.000 0.000 0.000
    8 5.976 5.950 5.896 5.823 5.733 5.628 5.508 5.372 5.225 5.059 4.883 4.695 4.489 4.273 4.054 3.816 3.541 3.220 2.846 2.382 1.766 0.730 0.000 0.000 0.000
    9 5.980 5.955 5.901 5.828 5.738 5.633 5.511 5.377 5.226 5.061 4.882 4.689 4.486 4.267 4.046 3.798 3.517 3.189 2.799 2.311 1.653 0.227 0.000 0.000 0.000
   10 5.981 5.955 5.902 5.829 5.739 5.633 5.512 5.376 5.224 5.059 4.878 4.683 4.475 4.253 4.031 3.784 3.496 3.157 2.753 2.248 1.548 0.000 0.000 0.000 0.000
   11 5.977 5.951 5.898 5.825 5.735 5.628 5.508 5.371 5.218 5.053 4.871 4.676 4.465 4.243 4.019 3.768 3.477 3.135 2.722 2.207 1.473 0.000 0.000 0.000 0.000
   12 5.968 5.942 5.889 5.816 5.726 5.620 5.498 5.362 5.209 5.043 4.860 4.663 4.454 4.230 4.005 3.752 3.460 3.114 2.702 2.178 1.435 0.000 0.000 0.000 0.000
   13 5.955 5.929 5.875 5.802 5.712 5.606 5.484 5.346 5.196 5.027 4.846 4.651 4.440 4.219 3.992 3.741 3.450 3.107 2.699 2.179 1.445 0.000 0.000 0.000 0.000
   14 5.938 5.912 5.858 5.785 5.694 5.586 5.465 5.328 5.177 5.010 4.831 4.634 4.426 4.204 3.980 3.732 3.444 3.105 2.701 2.197 1.492 0.000 0.000 0.000 0.000
   15 5.917 5.891 5.836 5.763 5.671 5.565 5.444 5.308 5.157 4.990 4.812 4.617 4.411 4.190 3.968 3.721 3.439 3.111 2.718 2.230 1.559 0.000 0.000 0.000 0.000
   16 5.893 5.867 5.812 5.737 5.646 5.539 5.417 5.281 5.131 4.967 4.791 4.596 4.392 4.176 3.952 3.714 3.436 3.115 2.737 2.269 1.636 0.400 0.000 0.000 0.000
   17 5.867 5.839 5.784 5.709 5.617 5.511 5.389 5.253 5.104 4.941 4.764 4.574 4.370 4.157 3.935 3.700 3.432 3.118 2.752 2.296 1.701 0.648 0.000 0.000 0.000
   18 5.838 5.810 5.754 5.679 5.587 5.480 5.359 5.224 5.075 4.913 4.737 4.549 4.347 4.134 3.915 3.684 3.419 3.116 2.757 2.321 1.752 0.810 0.000 0.000 0.000
   19 5.808 5.780 5.724 5.648 5.555 5.448 5.326 5.193 5.044 4.882 4.710 4.522 4.321 4.110 3.891 3.663 3.402 3.102 2.750 2.326 1.774 0.899 0.000 0.000 0.000
   20 5.778 5.749 5.692 5.616 5.524 5.416 5.295 5.159 5.012 4.850 4.678 4.490 4.291 4.080 3.865 3.633 3.375 3.082 2.735 2.315 1.771 0.918 0.000 0.000 0.000
   21 5.748 5.719 5.661 5.584 5.491 5.383 5.262 5.128 4.979 4.817 4.645 4.457 4.258 4.044 3.829 3.600 3.345 3.050 2.702 2.282 1.742 0.876 0.000 0.000 0.000
   22 5.719 5.690 5.632 5.554 5.461 5.352 5.230 5.095 4.946 4.783 4.608 4.422 4.221 4.011 3.789 3.560 3.306 3.007 2.655 2.231 1.679 0.791 0.000 0.000 0.000
   23 5.692 5.663 5.605 5.526 5.432 5.323 5.200 5.063 4.914 4.752 4.576 4.388 4.184 3.971 3.744 3.515 3.254 2.951 2.595 2.155 1.577 0.542 0.000 0.000 0.000
   24 5.668 5.639 5.580 5.502 5.406 5.297 5.173 5.034 4.884 4.720 4.542 4.352 4.146 3.927 3.702 3.468 3.200 2.890 2.519 2.059 1.435 0.000 0.000 0.000 0.000
   25 5.648 5.618 5.559 5.480 5.384 5.273 5.149 5.010 4.856 4.691 4.510 4.315 4.107 3.885 3.658 3.417 3.139 2.818 2.432 1.948 1.256 0.000 0.000 0.000 0.000
